,curr,temp,rpm,vibr_var,classifier
32,0.7,38.45,3273,2394.1972347277,1
33,0.72,38.43,3246,2140.8926004749,1
34,0.69,38.5,3264,2675.1786158633,1
35,0.69,38.49,3288,2364.5999522524,1
55,0.58,37.45,0,670.8751578948,0
56,0.78,37.49,210,805.8118245613,0
57,0.59,37.48,645,631.7625263158,0
58,0.55,37.46,1173,498.5463859649,0
59,0.51,37.49,1173,1027.6880175439,0
60,0.49,37.45,1698,765.0285438596,0
61,0.5,37.49,1698,523.7077368421,0
62,0.5,37.49,2202,625.458368421,0
63,0.49,37.45,2202,477.3052982455,0
64,0.54,37.45,2592,842.5189298246,0
65,0.6,37.45,2592,423.4159473684,0
66,0.66,37.49,2769,580.6705087718,0
67,0.69,37.46,2814,542.8236491228,0
68,0.7,37.45,2814,539.4912280701,0
69,0.75,37.48,2814,341.0705263158,0
70,0.71,37.45,2934,318.1152631579,0
71,0.76,37.45,2934,325.0644736842,0
72,0.78,37.49,2934,597.6836491228,0
73,0.76,37.49,3015,529.5558245615,0
74,0.77,37.49,3015,844.2724912281,0
75,0.77,37.49,3015,3064.2593157897,1
76,0.77,37.52,3144,1050.2598245615,1
77,0.77,37.51,3144,667.0148421052,1
78,0.75,37.51,3195,1169.8689298246,1
79,0.77,37.51,3195,805.1485614035,1
80,0.77,37.49,3195,1100.992877193,1
81,0.75,37.49,3198,698.2159122807,1
82,0.77,37.51,3198,896.247,1
83,0.77,37.49,3246,439.3782982456,1
84,0.77,37.53,3192,522.5565964914,1
85,0.77,37.51,3192,821.2934561403,1
86,0.8,37.51,3183,1077.0654385965,1
87,0.79,37.53,3183,782.8924035089,1
88,0.77,37.53,3183,1556.2169122808,1
89,0.79,37.51,3177,1649.7337894737,1
90,0.78,37.51,3177,2530.5725964914,1
91,0.77,37.53,3111,3551.2589824562,1
92,0.8,37.55,3075,4166.1344035089,1
93,0.79,37.53,3075,2427.3530000001,1
94,0.78,37.57,3069,1406.0041403508,1
95,0.79,37.55,3069,882.3537017544,1
96,0.78,37.61,3069,1013.7037192984,1
97,0.77,37.6,3033,623.8607017543,1
98,0.77,37.59,3033,1820.5185263158,1
99,0.77,37.61,3033,2512.7278947368,1
100,0.75,37.63,3033,2057.0502982458,1
101,0.77,37.59,3033,3720.6968421058,1
102,0.77,37.63,3051,2089.3471578948,1
103,0.71,37.62,3081,1709.2071403509,1
104,0.73,37.69,3081,2315.3330701757,1
105,0.73,37.69,3081,2214.9787543861,1
106,0.75,37.67,3072,1445.6646491229,1
107,0.75,37.67,3072,2084.1949298246,1
108,0.76,37.67,3069,2828.4874561404,1
109,0.75,37.71,3069,3173.6475087719,1
110,0.74,37.71,3069,2737.2779824562,1
111,0.75,37.69,3024,3046.0599122808,1
112,0.75,37.69,3024,2044.5466140352,1
113,0.75,37.74,3024,2189.0476491229,1
114,0.73,37.69,2979,1591.187508772,1
115,0.71,37.67,2979,1380.3558771932,1
116,0.71,37.7,2997,2118.2271052632,1
117,0.76,37.69,2997,2669.266017544,1
118,0.74,37.67,2997,2244.1871228071,1
119,0.78,37.71,3024,2347.8935438597,1
120,0.75,37.71,3024,2831.6838596493,1
121,0.76,37.74,3024,2240.0572807018,1
122,0.8,37.75,3033,2417.8063684212,1
123,0.74,37.77,3033,2543.6087894738,1
124,0.51,37.72,3012,1671.1606666668,1
125,0.5,37.74,3012,1752.5871754388,0
