"receivedTime","magnitude"
"2016-04-09 14:25:56",636
"2016-04-09 14:25:56",629
"2016-04-09 14:25:56",633
"2016-04-09 14:25:56",641
"2016-04-09 14:25:56",636
"2016-04-09 14:25:56",626
"2016-04-09 14:25:56",626
"2016-04-09 14:25:56",631
"2016-04-09 14:25:56",638
"2016-04-09 14:25:56",643
"2016-04-09 14:25:56",643
"2016-04-09 14:25:56",645
"2016-04-09 14:25:56",652
"2016-04-09 14:25:56",656
"2016-04-09 14:25:56",659
"2016-04-09 14:25:56",666
"2016-04-09 14:25:56",667
"2016-04-09 14:25:56",663
"2016-04-09 14:25:56",664
"2016-04-09 14:25:56",666
"2016-04-09 14:25:56",667
"2016-04-09 14:25:56",667
"2016-04-09 14:25:56",663
"2016-04-09 14:25:56",656
"2016-04-09 14:25:56",656
"2016-04-09 14:25:56",656
"2016-04-09 14:25:56",655
"2016-04-09 14:25:56",653
"2016-04-09 14:25:56",651
"2016-04-09 14:25:56",647
"2016-04-09 14:25:56",644
"2016-04-09 14:25:56",650
"2016-04-09 14:25:56",659
"2016-04-09 14:25:56",661
"2016-04-09 14:25:56",661
"2016-04-09 14:25:56",664
"2016-04-09 14:25:56",671
"2016-04-09 14:25:56",679
"2016-04-09 14:25:56",684
"2016-04-09 14:25:56",688
"2016-04-09 14:25:56",686
"2016-04-09 14:25:56",677
"2016-04-09 14:25:56",668
"2016-04-09 14:25:56",659
"2016-04-09 14:25:56",650
"2016-04-09 14:25:56",644
"2016-04-09 14:25:56",640
"2016-04-09 14:25:56",637
"2016-04-09 14:25:56",647
"2016-04-09 14:25:56",658
"2016-04-09 14:25:56",666
"2016-04-09 14:25:56",681
"2016-04-09 14:25:56",694
"2016-04-09 14:25:56",696
"2016-04-09 14:25:56",692
"2016-04-09 14:25:56",690
"2016-04-09 14:25:56",694
"2016-04-09 14:25:56",692
"2016-04-09 14:25:56",676
"2016-04-09 14:25:56",658
"2016-04-09 14:25:56",652
"2016-04-09 14:25:56",646
"2016-04-09 14:25:56",638
"2016-04-09 14:25:56",632
"2016-04-09 14:25:56",626
"2016-04-09 14:25:56",624
"2016-04-09 14:25:56",627
"2016-04-09 14:25:56",631
"2016-04-09 14:25:56",635
"2016-04-09 14:25:56",646
"2016-04-09 14:25:56",652
"2016-04-09 14:25:56",653
"2016-04-09 14:25:56",656
"2016-04-09 14:25:56",663
"2016-04-09 14:25:56",671
"2016-04-09 14:25:56",673
"2016-04-09 14:25:56",671
"2016-04-09 14:25:56",669
"2016-04-09 14:25:56",668
"2016-04-09 14:25:56",666
"2016-04-09 14:25:56",665
"2016-04-09 14:25:56",667
"2016-04-09 14:25:56",670
"2016-04-09 14:25:56",669
"2016-04-09 14:25:56",655
"2016-04-09 14:25:56",659
"2016-04-09 14:25:56",664
"2016-04-09 14:25:56",669
"2016-04-09 14:25:56",669
"2016-04-09 14:25:56",670
"2016-04-09 14:25:56",677
"2016-04-09 14:25:56",682
"2016-04-09 14:25:56",684
"2016-04-09 14:25:56",681
"2016-04-09 14:25:56",675
"2016-04-09 14:25:56",669
"2016-04-09 14:25:56",665
"2016-04-09 14:25:56",660
"2016-04-09 14:25:56",654
"2016-04-09 14:25:56",644
"2016-04-09 14:25:56",636
"2016-04-09 14:25:56",631
"2016-04-09 14:25:56",628
"2016-04-09 14:25:56",630
"2016-04-09 14:25:56",629
