"id";"temperatureVal";"currentVal";"rpmVal";"receivedTime";"acc1Avg";"acc1Std";"acc2Avg";"acc2Std";"classification"
37743;26.79;0.8;3498;"2016-04-12 13:53:39";533.9;8.54049178912;619.425;2.27911715364;2
37744;26.79;0.8;3498;"2016-04-12 13:53:39";531.9;3.04795013083;619.9;2.84429253067;2
37745;26.79;0.8;3504;"2016-04-12 13:53:40";530.25;2.30488611432;620.9375;1.47769880219;2
37746;26.83;0.84;3480;"2016-04-12 13:53:41";529.367647059;3.88210226463;620.198529412;7.27184321336;2
37747;26.85;0.85;3477;"2016-04-12 13:53:42";531.057553957;4.11659177352;620.431654676;3.1532793475;2
37748;26.85;0.79;3432;"2016-04-12 13:53:44";531.198863636;4.34587040968;620.386363636;3.0727239107;2
37749;26.85;0.8;3411;"2016-04-12 13:53:45";529.277777778;16.025346436;622.666666667;1.6996731712;2
37750;26.87;0.77;3411;"2016-04-12 13:53:45";530.205882353;2.21995511037;622.764705882;1.60987437452;2
37751;26.92;0.83;3387;"2016-04-12 13:53:46";531.275;4.00408645428;619.7;7.30365205451;2
37752;26.87;0.8;3387;"2016-04-12 13:53:46";531.263157895;2.14824543494;618.263157895;2.73076247812;2
37753;26.93;0.76;3381;"2016-04-12 13:53:47";529.909090909;1.75056071301;620.181818182;1.26621711611;2
37754;26.93;0.77;3381;"2016-04-12 13:53:47";531.181818182;1.74867127833;621.272727273;1.21287855128;2
37755;26.93;0.78;3381;"2016-04-12 13:53:47";536.666666667;0.471404520791;618.333333333;0.471404520791;2
37756;26.91;0.83;3381;"2016-04-12 13:53:48";535.911764706;2.03452042418;618.411764706;1.23948867681;2
37757;26.97;0.8;3372;"2016-04-12 13:53:49";532.394495413;4.1795007573;616.532110092;16.5144189472;2
37758;26.97;0.78;3372;"2016-04-12 13:53:49";536.25;0.829156197589;617.75;1.47901994577;2
37759;26.99;0.84;3420;"2016-04-12 13:53:50";530.323741007;3.58095648036;619.978417266;5.20717217876;2
37760;27.03;0.78;3414;"2016-04-12 13:53:52";532.054421769;3.69736496154;619.326530612;3.0218327216;2
37761;27.02;0.76;3438;"2016-04-12 13:53:53";532.476190476;3.620300535;619.210884354;2.98575140673;2
37762;27.03;0.8;3411;"2016-04-12 13:53:54";531.84;3.87484193226;619.08;1.86375964116;2
37763;27.05;0.8;3399;"2016-04-12 13:53:55";530.576923077;3.41572243652;618.532051282;8.78403262321;2
37764;27.05;0.8;3399;"2016-04-12 13:53:55";530.4;1.49666295471;619.2;0.748331477355;2
37765;27.05;0.81;3414;"2016-04-12 13:53:57";531.387283237;3.34271014542;619.242774566;5.41556495177;2
37766;27.05;0.9;3414;"2016-04-12 13:53:57";529.142857143;3.54274193361;621.357142857;0.971533607767;2
37767;27.09;0.84;3486;"2016-04-12 13:54:00";528.922077922;6.44812714935;621.077922078;1.67305796521;2
37768;27.09;0.84;3486;"2016-04-12 13:54:00";533.333333333;2.60874597375;618.625;0.80687153046;2
37769;27.09;0.8;3486;"2016-04-12 13:54:01";529.222222222;0.785674201318;618.555555556;1.06574033851;2
37770;27.14;0.88;3492;"2016-04-12 13:54:01";530.421052632;1.29027901812;620.368421053;1.22304737249;2
37771;27.15;0.78;3492;"2016-04-12 13:54:01";530.307692308;2.05256370217;620.730769231;1.16214960998;2
37772;27.15;0.8;3417;"2016-04-12 13:54:04";531.740740741;2.00171394324;619.604938272;4.16089678233;2
37773;27.17;0.79;3411;"2016-04-12 13:54:05";530.12;3.25355190523;621.92;1.49452333538;2
37774;27.21;0.78;3426;"2016-04-12 13:54:07";529.900763359;7.23842056264;619.541984733;3.41585781473;2
37775;27.21;0.86;3441;"2016-04-12 13:54:08";527.181818182;20.4990089124;620.727272727;1.52300992402;2
37776;27.21;0.79;3441;"2016-04-12 13:54:08";530.1;1.13578166916;619.6;1.01980390272;2
37777;27.23;0.85;3441;"2016-04-12 13:54:08";533.258064516;1.60579076963;618.64516129;2.04068911664;2
37778;27.21;0.79;3441;"2016-04-12 13:54:09";525.394736842;20.8093342842;619.0;2.13984751055;2
37779;27.21;0.79;3444;"2016-04-12 13:54:09";526.0;0.816496580928;621.333333333;0.471404520791;2
37780;27.22;0.82;3483;"2016-04-12 13:54:10";532.620689655;3.30531226657;620.344827586;1.44498805791;2
37781;27.23;0.79;3510;"2016-04-12 13:54:11";532.5;2.29128784748;621.5;1.27028987386;2
37782;27.61;0.6;2913;"2016-04-12 13:56:55";529.785714286;1.2637004295;618.857142857;1.05945692673;3
37783;27.61;0.6;2919;"2016-04-12 13:56:57";528.547770701;4.987175732;619.178343949;2.24460623052;3
37784;27.61;0.62;2919;"2016-04-12 13:56:57";528.0;0.925820099773;620.571428571;0.728431359085;3
37785;27.63;0.59;2919;"2016-04-12 13:56:57";528.25;0.433012701892;621.0;0.0;3
37786;27.63;0.59;2919;"2016-04-12 13:56:57";529.125;1.05326872165;621.8125;0.726184377414;3
37787;27.61;0.7;2904;"2016-04-12 13:56:58";532.304347826;3.13722090543;618.652173913;1.87335308894;3
37788;27.67;0.81;3021;"2016-04-12 13:57:00";531.441176471;2.01744125172;621.568627451;1.71218129378;3
37789;27.67;0.82;3021;"2016-04-12 13:57:00";532.5;0.5;623.5;0.5;3
37790;27.67;0.84;3021;"2016-04-12 13:57:00";531.733333333;1.94821855949;621.066666667;1.5260697523;3
37791;27.69;0.82;3021;"2016-04-12 13:57:00";531.055555556;2.12059274267;617.944444444;0.524110062892;3
37792;27.67;0.86;3159;"2016-04-12 13:57:01";531.2109375;3.6883523247;619.8125;3.88657545276;3
37793;27.67;0.81;3486;"2016-04-12 13:57:03";530.711409396;2.56537424043;618.979865772;6.01281606479;3
37794;27.69;0.83;3627;"2016-04-12 13:57:04";529.956521739;3.33985499385;620.165217391;3.418442144;3
37795;27.73;0.9;3657;"2016-04-12 13:57:05";530.96969697;2.4306732885;621.757575758;1.68828948814;3
37796;27.73;0.85;3657;"2016-04-12 13:57:05";528.921052632;2.70848159975;618.710526316;5.65177147235;3
37797;27.75;0.83;3669;"2016-04-12 13:57:06";531.806451613;4.20958472275;620.612903226;2.38175077046;3
37798;27.73;0.86;3642;"2016-04-12 13:57:07";528.951219512;2.44401927572;619.670731707;2.3584558717;3
37799;27.75;0.83;3615;"2016-04-12 13:57:08";531.32173913;3.19115033392;620.860869565;2.11366961559;3
37800;27.79;0.85;3576;"2016-04-12 13:57:09";533.166666667;2.52762514802;617.416666667;1.84654331718;3
37801;27.79;0.82;3576;"2016-04-12 13:57:09";534.181818182;2.75740925238;618.090909091;2.15130173931;3
37802;27.79;0.8;3561;"2016-04-12 13:57:12";530.331360947;3.71900905153;620.014792899;5.18501654334;3
37803;27.81;0.83;3585;"2016-04-12 13:57:13";531.555555556;1.42291649721;617.611111111;1.88970570574;3
37804;27.8;0.8;3585;"2016-04-12 13:57:13";531.888888889;0.874889763779;621.555555556;1.94999208609;3
37805;27.81;0.88;3585;"2016-04-12 13:57:13";530.5;3.73688181701;621.178571429;1.46515653548;3
37806;27.84;0.88;3528;"2016-04-12 13:57:17";531.349862259;3.90823369499;619.933884298;2.36271148755;3
37807;27.85;0.81;3528;"2016-04-12 13:57:17";536.5;0.5;619.5;1.25830573921;3
37808;27.85;0.82;3462;"2016-04-12 13:57:18";530.111111111;3.60383883116;617.333333333;2.44948974278;3
37809;27.87;0.82;3462;"2016-04-12 13:57:18";530.285714286;1.30540477732;620.071428571;1.33439583516;3
37810;27.87;0.81;3456;"2016-04-12 13:57:19";529.5;3.2403703492;620.6;4.55411901469;3
37811;27.91;0.8;3456;"2016-04-12 13:57:19";531.833333333;1.34370962472;616.583333333;5.72215480003;3
37812;27.93;0.83;3474;"2016-04-12 13:57:23";530.52195122;3.13450600575;619.614634146;2.76083771094;3
37813;27.95;0.8;3474;"2016-04-12 13:57:23";526.125;2.65066815476;619.5;2.91547594742;3
37814;27.95;0.83;3474;"2016-04-12 13:57:23";530.96969697;2.00733274687;618.575757576;1.92322807911;3
37815;27.95;0.82;3522;"2016-04-12 13:57:24";532.128205128;1.66686389366;619.564102564;2.32924409214;3
37816;28.05;0.82;3588;"2016-04-12 13:57:26";529.993710692;3.40642540349;619.880503145;2.35888466309;3
37817;28.07;0.81;3588;"2016-04-12 13:57:26";527.80952381;0.906014170973;621.380952381;1.96338363125;3
37818;28.13;0.78;3537;"2016-04-12 13:57:28";530.793296089;6.91421980447;619.022346369;5.35442729909;3
37819;28.17;0.82;3519;"2016-04-12 13:57:30";529.877777778;3.26540035925;619.455555556;4.70498815942;3
37820;28.17;0.8;3519;"2016-04-12 13:57:30";536.666666667;0.471404520791;616.333333333;0.471404520791;3
37821;28.13;0.81;3519;"2016-04-12 13:57:30";536.0;1.73205080757;617.5;0.5;3
37822;28.14;0.82;3510;"2016-04-12 13:57:31";529.489361702;3.66044027363;619.308510638;2.92831589007;3
37823;28.17;0.8;3564;"2016-04-12 13:57:35";531.442408377;3.15491513161;618.879581152;2.70855766808;3
37824;28.19;0.8;3531;"2016-04-12 13:57:36";532.842105263;2.19480625916;617.763157895;2.67477702491;3
37825;28.19;0.82;3531;"2016-04-12 13:57:36";528.24;1.53049011758;620.16;1.08369737473;3
37826;28.19;0.83;3507;"2016-04-12 13:57:37";533.2;3.33066559915;619.233333333;1.54236470683;3
37827;28.19;0.85;3507;"2016-04-12 13:57:37";530.666666667;1.63299316186;617.555555556;0.831479419283;3
37828;28.19;0.81;3507;"2016-04-12 13:57:37";530.777777778;0.916245694582;616.333333333;0.816496580928;3
37829;28.27;0.74;3420;"2016-04-12 13:57:41";530.581267218;3.33375449836;619.696969697;1.89145291325;3
37830;28.25;0.63;3420;"2016-04-12 13:57:41";534.0;1.80277563773;619.625;0.484122918276;3
37831;28.27;0.61;3420;"2016-04-12 13:57:41";529.142857143;2.29462548632;621.285714286;0.451753951453;3
37832;28.25;0.67;3420;"2016-04-12 13:57:41";527.333333333;0.942809041582;620.333333333;0.471404520791;3
37833;29.15;0.6;2913;"2016-04-12 14:00:43";529.718181818;3.29774528533;618.663636364;1.94598548405;3
37834;29.15;0.59;2946;"2016-04-12 14:00:44";530.388888889;1.4196591488;619.388888889;1.39995590759;3
37835;29.17;0.6;2946;"2016-04-12 14:00:44";526.886363636;2.66471821034;618.681818182;3.8950593838;3
37836;29.23;0.66;2946;"2016-04-12 14:00:44";532.142857143;1.6413036133;618.571428571;0.728431359085;3
37837;29.17;0.65;2949;"2016-04-12 14:00:45";530.64516129;1.89308396789;620.580645161;1.64167879355;3
37838;29.18;0.72;2949;"2016-04-12 14:00:45";525.333333333;0.942809041582;620.833333333;1.06718737291;3
37839;29.19;0.7;2949;"2016-04-12 14:00:45";529.666666667;1.59861050777;620.166666667;1.34370962472;3
37840;29.17;0.71;2949;"2016-04-12 14:00:45";533.714285714;2.49079939631;619.285714286;8.84330716602;3
37841;29.19;0.79;2949;"2016-04-12 14:00:45";534.076923077;2.89459811111;620.384615385;12.6948715359;3
37842;29.19;0.8;2949;"2016-04-12 14:00:45";533.0;1.0;635.0;5.0;3
37843;29.15;0.87;2985;"2016-04-12 14:00:46";529.366666667;5.30083850809;614.133333333;14.954895148;3
37844;29.15;0.93;3171;"2016-04-12 14:00:47";528.588785047;9.83314371635;624.186915888;8.29494930341;3
37845;29.25;0.82;3597;"2016-04-12 14:00:49";532.517241379;6.77938401054;616.779310345;12.3464186992;3
37846;29.29;0.86;3597;"2016-04-12 14:00:49";529.125;1.83285978733;619.375;5.54385921538;3
37847;29.25;0.85;3801;"2016-04-12 14:00:50";530.661538462;3.60459929738;621.0;11.2516665432;3
37848;29.23;0.82;3801;"2016-04-12 14:00:50";530.285714286;3.76883027379;595.428571429;12.9599067772;3
37849;29.28;0.9;3924;"2016-04-12 14:00:51";532.700854701;5.70389723908;619.914529915;6.9988676124;3
37850;29.29;0.87;3951;"2016-04-12 14:00:52";540.631578947;8.40244655045;621.289473684;3.16982395939;3
37851;29.25;0.89;3951;"2016-04-12 14:00:52";526.357142857;6.34268017771;621.857142857;2.13331207472;3
37852;29.31;0.84;3894;"2016-04-12 14:00:53";531.862068966;4.59553109708;621.775862069;8.53904440961;3
37853;29.31;0.9;3888;"2016-04-12 14:00:54";528.423076923;7.82585987865;620.961538462;2.15693459889;3
37854;29.31;0.86;3888;"2016-04-12 14:00:54";532.0;1.15470053838;623.0;1.94365063162;3
37855;29.36;0.9;3888;"2016-04-12 14:00:54";531.0;2.44948974278;622.666666667;2.26077666104;3
37856;29.37;0.91;3879;"2016-04-12 14:00:55";530.621212121;3.49356617103;618.71969697;9.55233938818;3
37857;29.31;0.86;3879;"2016-04-12 14:00:55";536.5;1.41421356237;622.375;2.68967934892;3
37858;29.37;0.87;3897;"2016-04-12 14:00:56";527.787878788;2.78260370503;621.090909091;2.88531954392;3
37859;29.37;0.84;3897;"2016-04-12 14:00:56";531.6;1.62480768093;620.6;2.69072480941;3
37860;29.36;0.86;3897;"2016-04-12 14:00:56";534.0;1.41421356237;623.0;3.0;3
37861;29.31;0.83;3897;"2016-04-12 14:00:56";528.3125;2.14239206263;620.6875;2.08322916406;3
37862;29.41;0.88;3960;"2016-04-12 14:00:59";530.706976744;3.58714729885;618.972093023;10.7733159928;3
37863;29.43;0.83;3960;"2016-04-12 14:00:59";533.944444444;2.013074548;616.722222222;1.4834477692;3
37864;29.43;0.84;3954;"2016-04-12 14:01:00";531.908163265;2.86102141991;620.87755102;1.85310168076;3
37865;29.45;0.85;3954;"2016-04-12 14:01:00";531.181818182;2.44273251683;618.590909091;1.3704375847;3
37866;29.43;0.9;3954;"2016-04-12 14:01:00";527.777777778;10.5385828457;621.444444444;2.00616334281;3
