,id,temperatureVal,currentVal,vibrationVal,rpmVal,receivedTime,accelerationAvg,accelerationDev,classifier
169,13794,32.11,0.81,0,3816,2016-04-09 15:46:55,650.4210526316,25.6100633787,2
170,13795,32.11,0.81,0,3816,2016-04-09 15:46:55,661.4210526316,21.9336698383,2
171,13796,32.09,0.89,0,3876,2016-04-09 15:46:55,656.8157894737,24.3913868136,2
172,13797,32.11,0.82,0,3891,2016-04-09 15:46:57,652,35.7359598098,2
173,13798,32.11,0.81,0,3891,2016-04-09 15:46:57,657.4411764706,33.0980638997,2
174,13799,32.11,0.83,0,3891,2016-04-09 15:46:57,665.5588235294,30.4922277238,2
175,13800,32.11,0.82,0,3876,2016-04-09 15:46:57,662.9714285714,30.829008338,2
176,13801,32.11,0.82,0,3876,2016-04-09 15:46:58,653.5510204082,24.7518799323,2
177,13802,32.13,0.83,0,3876,2016-04-09 15:46:58,661.3673469388,18.932418884,2
178,13803,32.11,0.87,0,3876,2016-04-09 15:46:58,664,28.9030751842,2
179,13804,32.14,0.84,0,3840,2016-04-09 15:46:59,651.9861111111,49.7070565792,2
180,13805,32.17,0.86,0,3840,2016-04-09 15:46:59,654.4246575342,33.3802984335,2
181,13806,32.14,0.83,0,3807,2016-04-09 15:47:00,663.1496598639,27.6140439823,2
182,13807,32.17,0.81,0,3807,2016-04-09 15:47:01,651.7222222222,20.9199680145,2
183,13808,32.19,0.84,0,3807,2016-04-09 15:47:01,659.8888888889,24.9708471998,2
184,13809,32.17,0.84,0,3807,2016-04-09 15:47:01,651.3888888889,26.1600605013,2
185,13810,32.17,0.82,0,3807,2016-04-09 15:47:01,657.3333333333,56.1901533485,2
186,13811,32.17,0.81,0,3801,2016-04-09 15:47:01,649.1111111111,53.5608572756,2
187,13812,32.19,0.81,0,3801,2016-04-09 15:47:01,642.1111111111,47.1155658271,2
188,13813,32.17,0.78,0,3801,2016-04-09 15:47:01,659.6470588235,43.724997799,2
189,13814,32.13,0.8,0,3801,2016-04-09 15:47:02,657.6,43.476379283,2
190,13815,32.19,0.85,0,3801,2016-04-09 15:47:02,666.0444444444,42.823127477,2
191,13816,32.13,0.85,0,3804,2016-04-09 15:47:02,652.1111111111,33.5984273588,2
192,13817,32.19,0.87,0,3804,2016-04-09 15:47:03,644.8148148148,26.3509603972,2
193,13818,32.25,0.82,0,3804,2016-04-09 15:47:03,649.1481481481,28.0286939003,2
194,13819,32.25,0.83,0,3804,2016-04-09 15:47:03,661.8148148148,28.1359622745,2
195,13820,32.21,0.91,0,3837,2016-04-09 15:47:03,671.0740740741,32.3853258104,2
196,13821,32.21,0.87,0,3837,2016-04-09 15:47:03,660.4827586207,31.4035147271,2
197,13822,32.22,0.8,0,3837,2016-04-09 15:47:04,658.8409090909,40.4280748433,2
198,13823,32.19,0.8,0,3837,2016-04-09 15:47:04,659.2528735632,33.747275204,2
199,13824,32.25,0.38,0,3804,2016-04-09 15:47:06,656.6617647059,85.0929613274,2
200,13825,32.27,0.02,0,3531,2016-04-09 15:47:06,647.8507462687,79.7522757325,2
201,13826,32.33,0.89,0,0,2016-04-09 15:47:48,648.4038461538,7.9982200313,2
202,13827,32.33,1.21,0,48,2016-04-09 15:47:48,648.9411764706,14.286167401,2
203,13828,32.31,1.3,0,48,2016-04-09 15:47:49,648.6,11.385956262,2
204,13829,32.31,1.03,0,48,2016-04-09 15:47:49,662.2666666667,6.8065328097,2
205,13830,32.33,0.95,0,396,2016-04-09 15:47:49,651.4666666667,7.8940202404,2
206,13831,32.31,0.83,0,396,2016-04-09 15:47:49,649.6551724138,8.6633427572,2
207,13832,32.31,0.75,0,396,2016-04-09 15:47:50,651.5588235294,23.9167565877,2
208,13833,32.33,0.75,0,1014,2016-04-09 15:47:50,659,12.8909452946,2
209,13834,32.33,0.75,0,1014,2016-04-09 15:47:50,638.6060606061,11.9111340679,2
210,13835,32.31,0.73,0,1014,2016-04-09 15:47:51,652.2,15.7107182098,2
211,13836,32.33,0.78,0,1665,2016-04-09 15:47:51,644.3,20.1397616669,2
212,13837,32.33,0.78,0,1665,2016-04-09 15:47:51,655.2,16.4932309347,2
213,13838,32.31,0.71,0,1665,2016-04-09 15:47:51,650.78125,22.1666054785,2
214,13839,32.31,0.77,0,1665,2016-04-09 15:47:52,679.3913043478,13.0907837824,2
215,13840,32.33,0.79,0,2358,2016-04-09 15:47:52,653.652173913,13.9770267898,2
216,13841,32.35,0.74,0,2358,2016-04-09 15:47:52,659.8695652174,12.6122933398,2
217,13842,32.35,0.71,0,2358,2016-04-09 15:47:52,637.2173913043,13.5227876009,2
218,13843,32.33,0.74,0,2358,2016-04-09 15:47:53,664.1296296296,18.7863684783,2
219,13844,32.33,0.71,0,2358,2016-04-09 15:47:53,647.4444444444,21.3807343763,2
220,13845,32.35,0.7,0,2979,2016-04-09 15:47:53,656.1698113208,13.7315720067,2
221,13846,32.39,0.7,0,2979,2016-04-09 15:47:54,653.8902439024,20.3242052601,2
222,13847,32.33,0.72,0,3300,2016-04-09 15:47:54,643.3456790123,28.6318308983,2
223,13848,32.33,0.75,0,3300,2016-04-09 15:47:55,652.9026548673,30.1559265229,2
224,13849,32.41,0.71,0,3384,2016-04-09 15:47:56,646.9,26.5271558973,2
225,13850,32.39,0.72,0,3453,2016-04-09 15:47:56,644.6734693878,17.7722413171,2
226,13851,32.35,0.72,0,3459,2016-04-09 15:47:57,655.4651162791,16.2385542334,2
227,13852,32.35,0.71,0,3459,2016-04-09 15:47:57,660.9069767442,17.47664748,2
228,13853,32.39,0.71,0,3459,2016-04-09 15:47:57,649.5476190476,17.1730719178,2
229,13854,32.35,0.72,0,3459,2016-04-09 15:47:58,653.7924528302,16.5385296175,2
230,13855,32.38,0.73,0,3498,2016-04-09 15:47:58,644.358490566,20.1757320501,2
231,13856,32.35,0.71,0,3498,2016-04-09 15:47:58,655.7407407407,23.6683764525,2
232,13857,32.35,0.72,0,3498,2016-04-09 15:47:59,649.6388888889,20.0459926416,2
233,13858,32.35,0.74,0,3498,2016-04-09 15:47:59,658.8888888889,18.4070906896,2
234,13859,32.35,0.71,0,3498,2016-04-09 15:47:59,656.5833333333,20.6591047994,2
235,13860,32.39,0.73,0,3552,2016-04-09 15:47:59,651.2777777778,17.6219735165,2
236,13861,32.39,0.79,0,3552,2016-04-09 15:48:00,651.8928571429,20.797216994,2
237,13862,32.35,0.72,0,3552,2016-04-09 15:48:00,645,28.798561472,2
238,13863,32.45,0.78,0,3552,2016-04-09 15:48:00,663.7857142857,35.5561499029,2
