current,temp,rpm,vibrAvg,vibrStd,classifier
3.4,30.77,1113,666.2580645161,54.6399560812,3
3.39,30.81,1116,650.7096774194,62.5059275718,3
3.44,30.85,1116,670.0860215054,57.4101740476,3
3.44,30.81,1116,651.3225806452,65.682465425,3
3.41,30.84,1110,672.6505376344,53.3243415612,3
3.44,30.81,1110,657.9946236559,62.5835782947,3
3.46,30.82,1110,643.3225806452,66.3984650183,3
3.44,30.81,1110,657.0806451613,73.2299291862,3
3.41,30.85,1110,657.6075268817,76.6687593028,3
3.4,30.87,1113,669.5322580645,70.0367148897,3
3.48,30.91,1113,669.5430107527,67.6580648665,3
3.39,30.87,1113,632.3870967742,81.9439924462,3
3.37,30.91,1113,633.6612903226,79.2337518125,3
3.42,30.93,1110,642.9247311828,82.0089473953,3
3.36,30.97,1110,642.1666666667,80.7857192657,3
3.42,30.93,1110,656.3064516129,79.747974399,3
3.4,30.95,1110,669.876344086,73.3985348918,3
3.4,30.97,1110,659.6666666667,78.7723456378,3
3.4,30.97,1110,643.0698924731,80.5412500803,3
3.38,30.97,1110,646.0107526882,82.8106396239,3
3.38,30.93,1110,667.6559139785,77.9530455065,3
3.5,30.93,1110,651.435483871,77.4779790361,3
3.39,30.97,1110,645.3440860215,82.8862408162,3
3.42,30.97,1110,646.9516129032,84.0632942707,3
3.4,30.97,1110,665.0752688172,78.564710204,3
3.42,30.99,1110,660.6827956989,77.3009857129,3
3.52,30.93,1107,664.064516129,71.6360734579,3
3.42,31.01,1107,661.3440860215,76.8740758663,3
3.45,31.01,1107,661.7150537634,85.7517013797,3
3.49,31.01,1107,649.8279569892,83.4716645833,3
3.43,31.01,1107,658.5053763441,78.54956981,3
3.52,31,1107,660.0967741935,87.2860905442,3
3.44,30.99,1107,672.2150537634,72.2503636129,3
3.47,31.01,1107,648.8548387097,85.5132851606,3
3.37,31.01,1107,640.3387096774,77.8190505634,3
3.45,30.99,1107,632.4301075269,87.5034743211,3
3.44,30.99,1107,661.1989247312,77.0274926406,3
3.42,31.01,1107,651.3279569892,80.192945907,3
3.41,31.05,1107,677.6182795699,70.9957555088,3
3.5,31.05,1107,642.1075268817,77.954627328,3
3.34,31.07,1101,662.9462365591,81.6998000276,3
3.39,31.13,1101,631.935483871,85.3228916392,3
3.46,31.13,1101,661.2311827957,78.8507184611,3
3.37,31.13,1101,662.3548387097,77.569690506,3
3.45,31.13,1107,648.6182795699,82.1382881215,3
3.54,31.13,1107,640.3494623656,83.3901403672,3
3.45,31.15,1107,640.6827956989,85.8694396846,3
3.44,31.19,1107,659.0698924731,85.2880663096,3
3.47,31.15,1110,642.4784946237,81.4050807501,3
3.66,31.19,1110,624.1290322581,85.4616465328,3
3.46,31.19,1110,644.9946236559,84.4335010534,3
3.54,31.19,1110,666.3817204301,74.158718839,3
3.46,31.25,1110,655.3387096774,83.4970755167,3
3.46,31.27,1110,636.8494623656,85.4789097093,3
3.44,31.27,1110,654.2688172043,85.6893789964,3
3.47,31.25,1107,645.2634408602,84.2885498224,3
3.58,31.27,1107,644.2204301075,83.2008827744,3
3.49,31.27,1107,654.9892473118,82.7400378467,3
3.42,31.33,1107,664.3010752688,71.7005098805,3
3.45,31.29,1107,629.7204301075,84.4505792479,3
3.51,31.29,1107,638.752688172,87.7018600499,3
3.54,31.33,1107,655.4139784946,80.2022686127,3
3.57,31.27,1107,654.5806451613,81.2744352114,3
3.49,31.39,1104,655.2849462366,84.4260794522,3
3.56,31.39,1104,659.688172043,76.7551586294,3
3.43,31.39,1104,651.1397849462,80.9876655148,3
3.51,31.43,1092,661.9247311828,75.3528240881,3
3.52,31.43,1092,639.6344086022,84.3429105378,3
3.48,31.43,1092,647.0161290323,81.3334088537,3
3.47,31.47,1092,669.5,71.2387512343,3
3.72,31.47,1092,666.9247311828,79.215812009,3
3.54,31.49,1092,656.5268817204,81.8381685799,3
3.68,31.49,1092,696.5,49.4830534693,3
3.55,31.55,1095,645.8978494624,88.4920584232,3
3.5,31.53,1095,657.5967741935,76.9427506092,3
3.5,31.54,1098,658.2043010753,81.3534779133,3
3.53,31.53,1098,639.6666666667,83.9419068618,3
3.5,31.55,1098,663.623655914,79.6513793735,3
