"id";"temperatureVal";"currentVal";"vibrationVal";"rpmVal";"receivedTime"
13859;32.35;0.71;0.0;3498;"2016-04-09 15:47:59"
13860;32.39;0.73;0.0;3552;"2016-04-09 15:47:59"
13861;32.39;0.79;0.0;3552;"2016-04-09 15:48:00"
13862;32.35;0.72;0.0;3552;"2016-04-09 15:48:00"
13863;32.45;0.78;0.0;3552;"2016-04-09 15:48:00"
13864;32.39;0.73;0.0;3552;"2016-04-09 15:48:00"
13865;32.36;0.76;0.0;3552;"2016-04-09 15:48:00"
13866;32.41;0.72;0.0;3552;"2016-04-09 15:48:01"
13867;32.41;0.73;0.0;3552;"2016-04-09 15:48:01"
13868;32.41;0.72;0.0;3552;"2016-04-09 15:48:01"
13869;32.41;0.73;0.0;3552;"2016-04-09 15:48:01"
13870;32.41;0.71;0.0;3552;"2016-04-09 15:48:01"
13871;32.45;0.71;0.0;3573;"2016-04-09 15:48:01"
13872;32.47;0.7;0.0;3573;"2016-04-09 15:48:01"
13873;32.47;0.69;0.0;3573;"2016-04-09 15:48:02"
13874;32.45;0.74;0.0;3573;"2016-04-09 15:48:02"
13875;32.45;0.72;0.0;3573;"2016-04-09 15:48:02"
13876;32.45;0.76;0.0;3573;"2016-04-09 15:48:02"
13877;32.45;0.71;0.0;3558;"2016-04-09 15:48:02"
13878;32.45;0.72;0.0;3558;"2016-04-09 15:48:02"
13879;32.45;0.79;0.0;3558;"2016-04-09 15:48:03"
13880;32.45;0.72;0.0;3558;"2016-04-09 15:48:03"
13881;32.45;0.71;0.0;3558;"2016-04-09 15:48:03"
13882;32.45;0.71;0.0;3558;"2016-04-09 15:48:03"
13883;32.45;0.72;0.0;3558;"2016-04-09 15:48:03"
13884;32.45;0.75;0.0;3558;"2016-04-09 15:48:03"
13885;32.47;0.72;0.0;3543;"2016-04-09 15:48:03"
13886;32.47;0.73;0.0;3543;"2016-04-09 15:48:03"
13887;32.45;0.72;0.0;3543;"2016-04-09 15:48:03"
13888;32.45;0.72;0.0;3543;"2016-04-09 15:48:04"
13889;32.47;0.76;0.0;3543;"2016-04-09 15:48:04"
13890;32.49;0.74;0.0;3543;"2016-04-09 15:48:04"
13891;32.45;0.73;0.0;3498;"2016-04-09 15:48:04"
13892;32.47;0.71;0.0;3498;"2016-04-09 15:48:05"
13893;32.45;0.71;0.0;3495;"2016-04-09 15:48:05"
13894;32.45;0.78;0.0;3495;"2016-04-09 15:48:05"
13895;32.47;0.72;0.0;3495;"2016-04-09 15:48:05"
13896;32.47;0.74;0.0;3495;"2016-04-09 15:48:06"
13897;32.45;0.7;0.0;3432;"2016-04-09 15:48:06"
13898;32.47;0.72;0.0;3468;"2016-04-09 15:48:07"
13899;32.47;0.71;0.0;3468;"2016-04-09 15:48:09"
13900;32.55;0.7;0.0;3468;"2016-04-09 15:48:09"
13901;32.55;0.74;0.0;3537;"2016-04-09 15:48:09"
13902;32.5;0.71;0.0;3537;"2016-04-09 15:48:09"
13903;32.55;0.76;0.0;3546;"2016-04-09 15:48:11"
13904;32.55;0.68;0.0;3546;"2016-04-09 15:48:11"
13905;32.55;0.67;0.0;3576;"2016-04-09 15:48:11"
13906;32.59;0.02;0.0;3531;"2016-04-09 15:48:13"
13907;32.59;0.02;0.0;3273;"2016-04-09 15:48:14"
13908;32.59;0.02;0.0;2745;"2016-04-09 15:48:14"
13909;32.59;0.02;0.0;2745;"2016-04-09 15:48:14"
13910;32.59;0.03;0.0;2745;"2016-04-09 15:48:15"
13911;32.59;0.02;0.0;2082;"2016-04-09 15:48:16"
13912;32.56;0.02;0.0;1374;"2016-04-09 15:48:16"
13913;32.61;0.02;0.0;1374;"2016-04-09 15:48:17"
13914;32.61;0.02;0.0;1374;"2016-04-09 15:48:17"
13915;32.39;0.89;0.0;12;"2016-04-09 15:50:43"
13916;32.39;1.15;0.0;12;"2016-04-09 15:50:43"
13917;32.39;1.07;0.0;147;"2016-04-09 15:50:43"
13918;32.41;1.25;0.0;147;"2016-04-09 15:50:43"
13919;32.41;1.13;0.0;147;"2016-04-09 15:50:44"
13920;32.39;0.95;0.0;147;"2016-04-09 15:50:44"
13921;32.39;0.66;0.0;1215;"2016-04-09 15:50:45"
13922;32.4;0.63;0.0;2550;"2016-04-09 15:50:47"
13923;32.39;0.66;0.0;2550;"2016-04-09 15:50:47"
13924;32.41;0.71;0.0;3099;"2016-04-09 15:50:49"
13925;32.41;0.71;0.0;3099;"2016-04-09 15:50:49"
13926;32.41;0.74;0.0;3408;"2016-04-09 15:50:49"
13927;32.41;0.78;0.0;3408;"2016-04-09 15:50:50"
13928;32.41;0.77;0.0;3408;"2016-04-09 15:50:50"
13929;32.41;0.78;0.0;3408;"2016-04-09 15:50:50"
13930;32.41;0.8;0.0;3492;"2016-04-09 15:50:50"
13931;32.41;0.82;0.0;3492;"2016-04-09 15:50:50"
13932;32.41;0.81;0.0;3492;"2016-04-09 15:50:51"
13933;32.41;0.79;0.0;3558;"2016-04-09 15:50:51"
13934;32.41;0.82;0.0;3558;"2016-04-09 15:50:51"
13935;32.41;0.87;0.0;3651;"2016-04-09 15:50:53"
13936;32.41;0.85;0.0;3762;"2016-04-09 15:50:53"
13937;32.41;0.87;0.0;3816;"2016-04-09 15:50:55"
13938;32.41;0.86;0.0;3816;"2016-04-09 15:50:55"
13939;32.41;0.86;0.0;3816;"2016-04-09 15:50:55"
13940;32.41;0.85;0.0;3900;"2016-04-09 15:50:55"
13941;32.41;0.86;0.0;3900;"2016-04-09 15:50:56"
13942;32.41;0.81;0.0;3900;"2016-04-09 15:50:56"
13943;32.41;0.73;0.0;4032;"2016-04-09 15:50:56"
13944;32.41;0.83;0.0;4032;"2016-04-09 15:50:57"
13945;32.41;0.82;0.0;3987;"2016-04-09 15:50:57"
13946;32.41;0.84;0.0;3987;"2016-04-09 15:50:57"
13947;32.41;0.8;0.0;3987;"2016-04-09 15:50:57"
13948;32.41;0.8;0.0;3987;"2016-04-09 15:50:58"
13949;32.45;0.85;0.0;3987;"2016-04-09 15:50:59"
13950;32.47;0.84;0.0;4065;"2016-04-09 15:51:00"
13951;32.49;0.84;0.0;3978;"2016-04-09 15:51:01"
13952;32.49;0.72;0.0;4062;"2016-04-09 15:51:03"
13953;32.53;0.68;0.0;4062;"2016-04-09 15:51:03"
13954;32.49;0.65;0.0;4047;"2016-04-09 15:51:03"
13955;32.49;0.65;0.0;4047;"2016-04-09 15:51:03"
13956;32.49;0.65;0.0;4047;"2016-04-09 15:51:03"
13957;32.53;0.7;0.0;4047;"2016-04-09 15:51:04"
13958;32.53;0.65;0.0;3882;"2016-04-09 15:51:04"
13959;32.53;0.43;0.0;3882;"2016-04-09 15:51:05"
13960;32.53;0.1;0.0;3882;"2016-04-09 15:51:05"
13961;32.49;0.02;0.0;3630;"2016-04-09 15:51:05"
13962;32.53;0.02;0.0;3630;"2016-04-09 15:51:05"
13963;32.53;0.02;0.0;3630;"2016-04-09 15:51:05"
13964;32.55;0.02;0.0;3207;"2016-04-09 15:51:07"
13965;32.55;0.02;0.0;3207;"2016-04-09 15:51:07"
13966;32.59;0.02;0.0;2547;"2016-04-09 15:51:07"
13967;32.55;0.02;0.0;2547;"2016-04-09 15:51:08"
13968;32.59;0.02;0.0;2547;"2016-04-09 15:51:08"
13969;32.53;1.14;0.0;0;"2016-04-09 15:51:46"
13970;32.59;1.09;0.0;114;"2016-04-09 15:51:46"
13971;32.69;0.05;0.0;0;"2016-04-09 15:52:08"
13972;32.69;0.04;0.0;0;"2016-04-09 15:52:08"
13973;32.69;0.03;0.0;0;"2016-04-09 15:52:08"
13974;32.69;0.02;0.0;0;"2016-04-09 15:52:08"
13975;32.63;0.02;0.0;0;"2016-04-09 15:52:08"
13976;32.69;0.02;0.0;0;"2016-04-09 15:52:09"
13977;32.63;0.02;0.0;0;"2016-04-09 15:52:09"
13978;32.69;0.02;0.0;0;"2016-04-09 15:52:09"
13979;32.69;0.02;0.0;0;"2016-04-09 15:52:10"
13980;32.67;0.02;0.0;0;"2016-04-09 15:52:10"
13981;32.67;0.02;0.0;0;"2016-04-09 15:52:10"
13982;32.67;0.02;0.0;0;"2016-04-09 15:52:10"
13983;32.69;0.02;0.0;0;"2016-04-09 15:52:10"
13984;32.67;0.02;0.0;0;"2016-04-09 15:52:11"
13985;32.69;0.02;0.0;0;"2016-04-09 15:52:11"
13986;32.67;0.02;0.0;0;"2016-04-09 15:52:11"
13987;32.69;0.02;0.0;0;"2016-04-09 15:52:11"
13988;32.75;0.02;0.0;0;"2016-04-09 15:52:12"
13989;32.75;0.02;0.0;0;"2016-04-09 15:52:12"
13990;32.75;0.02;0.0;0;"2016-04-09 15:52:12"
13991;32.72;0.02;0.0;0;"2016-04-09 15:52:12"
13992;32.75;0.02;0.0;0;"2016-04-09 15:52:13"
13993;32.74;0.02;0.0;0;"2016-04-09 15:52:13"
13994;32.75;0.02;0.0;0;"2016-04-09 15:52:13"
13995;32.75;0.02;0.0;0;"2016-04-09 15:52:13"
13996;32.71;0.02;0.0;0;"2016-04-09 15:52:14"
13997;32.71;0.02;0.0;0;"2016-04-09 15:52:14"
