curr,temp,rpm,vibr_var,classifier
0.75,37.71,3024,2831.6838596493,1
0.76,37.74,3024,2240.0572807018,1
0.8,37.75,3033,2417.8063684212,1
0.74,37.77,3033,2543.6087894738,1
0.51,37.72,3012,1671.1606666668,1
0.5,37.74,3012,1752.5871754388,0
0.5,37.75,3012,2118.3740701755,0
0.68,37.11,201,292.7001245561,1
0.85,37.11,471,572.1176578152,1
0.73,37.11,471,1398.1554645678,1
0.63,37.11,939,2331.0918747019,1
0.57,37.16,939,1473.6147188213,1
0.54,37.17,939,1435.3584088621,1
0.52,37.13,1482,1425.730264483,1
0.51,37.11,1974,1353.1212063392,1
0.52,37.09,1974,2009.9445009807,1
0.53,37.11,1974,2012.2771134787,1
0.55,37.11,2634,1399.8292812849,1
0.61,37.13,2745,1477.0698786242,1
0.63,37.13,2745,1688.2338607093,1
0.64,37.11,2781,1355.2879816612,1
0.66,37.13,2838,1248.2464355754,1
0.67,37.13,3009,1300.6076376743,1
0.68,37.17,3033,1292.971163937,1
0.67,37.19,3072,1405.0680235332,1
0.68,37.17,3069,1378.1580643452,1
0.69,37.19,3069,1355.4327529549,1
0.67,37.19,3069,1700.4030847511,1
0.67,37.19,3090,1378.8133990566,1
0.67,37.21,3090,1684.6818174591,1
0.67,37.21,3114,1172.5298033603,1
0.66,37.2,3138,1386.8940107065,1
0.67,37.24,3138,1585.5836168973,1
0.67,37.25,3117,1429.4379949118,1
0.67,37.25,3117,1609.8840462183,1
0.67,37.27,3132,1679.8587242275,1
0.68,37.29,3132,2273.8794747443,1
0.66,37.29,3090,2113.8768802672,1
0.68,37.29,3084,2344.8961440611,1
0.66,37.29,3084,2094.017573011,1
0.68,37.27,3084,2370.0675597604,1
0.67,37.29,3075,2424.4201250861,1
0.66,37.29,3075,4128.2893279272,1
0.67,37.29,3042,2284.906694228,1
0.65,37.32,3003,2398.3627948269,1
0.67,37.33,3063,2094.1033126622,1
0.66,37.33,3063,2045.0614088089,1
0.68,37.33,3060,1898.2286108019,1
0.66,37.33,3060,1872.9682169925,1
0.66,37.33,3060,1999.0092542534,1
0.68,37.35,3084,1597.6958366459,1
0.68,37.35,3087,1860.0358801081,1
0.61,37.35,3087,1598.928857264,1
0.5,37.35,3087,605.3022393597,0
0.52,36.45,1008,123.1791018831,0
0.51,36.39,1527,383.0444785127,0
0.5,36.41,1527,233.9909536456,0
0.5,36.45,2046,385.5952752293,0
0.5,36.45,2448,536.5457894736,0
0.51,36.45,2448,453.280231772,0
0.54,36.45,2658,878.2743433123,1
0.54,36.47,2691,1070.1501714147,1
0.55,36.45,2691,933.1182375663,1
0.57,36.47,2739,925.7278826652,1
0.67,36.46,2826,1889.6707967164,1
0.71,36.47,2826,1866.4736238531,1
