"receivedTime";"magnitude1";"magnitude2"
"2016-04-12 13:18:03";531;621
"2016-04-12 13:18:03";531;621
"2016-04-12 13:18:03";531;621
"2016-04-12 13:18:03";531;621
"2016-04-12 13:18:03";532;621
"2016-04-12 13:18:03";532;621
"2016-04-12 13:18:03";532;621
"2016-04-12 13:18:03";532;621
"2016-04-12 13:18:03";532;621
"2016-04-12 13:18:03";532;621
"2016-04-12 13:18:03";533;621
"2016-04-12 13:18:03";533;621
"2016-04-12 13:18:03";533;621
"2016-04-12 13:18:03";533;621
"2016-04-12 13:18:03";533;621
"2016-04-12 13:18:03";533;621
"2016-04-12 13:18:03";533;621
"2016-04-12 13:18:03";533;620
"2016-04-12 13:18:03";533;620
"2016-04-12 13:18:03";533;620
"2016-04-12 13:18:03";533;620
"2016-04-12 13:18:03";533;620
"2016-04-12 13:18:03";533;620
"2016-04-12 13:18:03";533;620
"2016-04-12 13:18:03";533;620
"2016-04-12 13:18:03";533;620
"2016-04-12 13:18:03";533;620
"2016-04-12 13:18:03";533;620
"2016-04-12 13:18:03";533;619
"2016-04-12 13:18:03";533;619
"2016-04-12 13:18:03";533;619
"2016-04-12 13:18:03";533;619
"2016-04-12 13:18:03";533;619
"2016-04-12 13:18:03";533;619
"2016-04-12 13:18:03";533;619
"2016-04-12 13:18:03";532;619
"2016-04-12 13:18:03";532;618
"2016-04-12 13:18:03";532;618
"2016-04-12 13:18:03";532;618
"2016-04-12 13:18:03";529;621
"2016-04-12 13:18:03";529;621
"2016-04-12 13:18:03";529;621
"2016-04-12 13:18:03";529;621
"2016-04-12 13:18:03";529;621
"2016-04-12 13:18:03";529;621
"2016-04-12 13:18:03";529;621
"2016-04-12 13:18:03";529;622
"2016-04-12 13:18:03";529;622
"2016-04-12 13:18:03";529;622
"2016-04-12 13:18:03";529;622
"2016-04-12 13:18:03";529;622
"2016-04-12 13:18:03";529;622
"2016-04-12 13:18:03";529;622
"2016-04-12 13:18:03";529;622
"2016-04-12 13:18:03";529;622
"2016-04-12 13:18:03";530;622
"2016-04-12 13:18:03";530;622
"2016-04-12 13:18:03";530;622
"2016-04-12 13:18:03";530;622
"2016-04-12 13:18:03";530;622
"2016-04-12 13:18:03";530;622
"2016-04-12 13:18:03";530;622
"2016-04-12 13:18:03";530;622
"2016-04-12 13:18:03";530;622
"2016-04-12 13:18:03";530;622
"2016-04-12 13:18:03";530;622
"2016-04-12 13:18:03";530;622
"2016-04-12 13:18:03";530;622
"2016-04-12 13:18:03";530;622
"2016-04-12 13:18:03";530;621
"2016-04-12 13:18:03";530;622
"2016-04-12 13:18:03";530;622
"2016-04-12 13:18:03";531;622
"2016-04-12 13:18:03";530;622
"2016-04-12 13:18:03";530;622
"2016-04-12 13:18:03";530;622
"2016-04-12 13:18:03";530;621
"2016-04-12 13:18:03";530;621
"2016-04-12 13:18:03";531;621
"2016-04-12 13:18:03";531;621
"2016-04-12 13:18:03";531;621
"2016-04-12 13:18:03";531;621
"2016-04-12 13:18:04";531;621
"2016-04-12 13:18:04";531;621
"2016-04-12 13:18:04";531;621
"2016-04-12 13:18:04";531;621
"2016-04-12 13:18:04";531;621
"2016-04-12 13:18:04";533;618
"2016-04-12 13:18:04";533;618
"2016-04-12 13:18:04";533;618
"2016-04-12 13:18:04";533;618
"2016-04-12 13:18:04";533;618
"2016-04-12 13:18:04";533;618
"2016-04-12 13:18:04";533;618
"2016-04-12 13:18:04";532;618
"2016-04-12 13:18:04";532;618
"2016-04-12 13:18:04";532;618
"2016-04-12 13:18:04";532;618
"2016-04-12 13:18:04";532;618
"2016-04-12 13:18:04";532;618
"2016-04-12 13:18:04";532;618
"2016-04-12 13:18:04";532;618
"2016-04-12 13:18:04";532;618
"2016-04-12 13:18:04";532;618
"2016-04-12 13:18:04";532;618
"2016-04-12 13:18:04";532;618
"2016-04-12 13:18:04";531;618
"2016-04-12 13:18:04";531;619
"2016-04-12 13:18:04";531;619
"2016-04-12 13:18:04";531;619
"2016-04-12 13:18:04";531;619
"2016-04-12 13:18:04";531;619
"2016-04-12 13:18:04";531;619
"2016-04-12 13:18:04";531;619
"2016-04-12 13:18:04";531;619
"2016-04-12 13:18:04";531;619
"2016-04-12 13:18:04";531;619
"2016-04-12 13:18:04";531;620
"2016-04-12 13:18:04";531;620
"2016-04-12 13:18:04";531;620
"2016-04-12 13:18:04";531;620
"2016-04-12 13:18:04";531;620
"2016-04-12 13:18:04";531;620
"2016-04-12 13:18:04";531;620
"2016-04-12 13:18:04";531;620
"2016-04-12 13:18:04";531;620
"2016-04-12 13:18:04";531;620
"2016-04-12 13:18:04";531;620
"2016-04-12 13:18:04";530;620
"2016-04-12 13:18:04";530;620
"2016-04-12 13:18:04";530;620
"2016-04-12 13:18:04";530;620
"2016-04-12 13:18:04";530;620
"2016-04-12 13:18:04";530;620
"2016-04-12 13:18:04";529;621
"2016-04-12 13:18:04";529;621
"2016-04-12 13:18:04";529;621
"2016-04-12 13:18:04";529;621
"2016-04-12 13:18:04";529;621
"2016-04-12 13:18:04";529;621
"2016-04-12 13:18:04";529;622
"2016-04-12 13:18:04";529;622
"2016-04-12 13:18:04";530;622
"2016-04-12 13:18:04";530;622
"2016-04-12 13:18:04";530;622
"2016-04-12 13:18:04";530;622
"2016-04-12 13:18:04";530;622
"2016-04-12 13:18:04";530;622
"2016-04-12 13:18:04";530;622
"2016-04-12 13:18:04";530;622
"2016-04-12 13:18:04";530;622
"2016-04-12 13:18:04";530;622
"2016-04-12 13:18:04";530;622
"2016-04-12 13:18:04";530;622
"2016-04-12 13:18:04";530;622
"2016-04-12 13:18:04";530;622
"2016-04-12 13:18:04";531;622
"2016-04-12 13:18:04";530;622
"2016-04-12 13:18:04";531;622
"2016-04-12 13:18:04";531;622
"2016-04-12 13:18:04";531;622
"2016-04-12 13:18:04";531;622
"2016-04-12 13:18:04";531;622
"2016-04-12 13:18:04";531;622
"2016-04-12 13:18:04";531;622
"2016-04-12 13:18:04";531;622
"2016-04-12 13:18:04";531;622
"2016-04-12 13:18:04";531;622
"2016-04-12 13:18:04";531;622
"2016-04-12 13:18:05";531;622
"2016-04-12 13:18:05";531;622
"2016-04-12 13:18:05";531;621
"2016-04-12 13:18:05";531;621
