,curr,temp,rpm,vibr_var,classifier
86,0.8,37.51,3183.0,1077.0654385965088,1
87,0.79,37.53,3183.0,782.8924035088692,1
88,0.77,37.53,3183.0,1556.216912280794,1
89,0.79,37.51,3177.0,1649.7337894737288,1
90,0.78,37.51,3177.0,2530.5725964913695,1
91,0.77,37.53,3111.0,3551.2589824562046,1
92,0.8,37.55,3075.0,4166.134403508913,1
93,0.79,37.53,3075.0,2427.353000000044,1
94,0.78,37.57,3069.0,1406.0041403507528,1
95,0.79,37.55,3069.0,882.3537017544018,1
96,0.78,37.61,3069.0,1013.7037192983615,1
97,0.77,37.6,3033.0,623.8607017542993,1
98,0.77,37.59,3033.0,1820.5185263157582,1
99,0.77,37.61,3033.0,2512.727894736823,1
100,0.75,37.63,3033.0,2057.050298245764,1
101,0.77,37.59,3033.0,3720.696842105765,1
102,0.77,37.63,3051.0,2089.3471578948293,1
103,0.71,37.62,3081.0,1709.20714035094,1
104,0.73,37.69,3081.0,2315.3330701757022,1
105,0.73,37.69,3081.0,2214.978754386111,1
106,0.75,37.67,3072.0,1445.664649122898,1
107,0.75,37.67,3072.0,2084.194929824638,1
108,0.76,37.67,3069.0,2828.4874561403894,1
109,0.75,37.71,3069.0,3173.6475087719405,1
110,0.74,37.71,3069.0,2737.277982456146,1
111,0.75,37.69,3024.0,3046.0599122807735,1
112,0.75,37.69,3024.0,2044.546614035224,1
113,0.75,37.74,3024.0,2189.0476491228997,1
114,0.73,37.69,2979.0,1591.187508772015,1
115,0.71,37.67,2979.0,1380.3558771931453,1
116,0.71,37.7,2997.0,2118.227105263143,1
117,0.76,37.69,2997.0,2669.266017543971,1
118,0.74,37.67,2997.0,2244.1871228071036,1
119,0.78,37.71,3024.0,2347.8935438597136,1
120,0.75,37.71,3024.0,2831.683859649294,1
121,0.76,37.74,3024.0,2240.057280701822,1
122,0.8,37.75,3033.0,2417.8063684212107,1
123,0.74,37.77,3033.0,2543.608789473747,1
124,0.51,37.72,3012.0,1671.1606666668395,1
125,0.5,37.74,3012.0,1752.587175438754,1
126,0.5,37.75,3012.0,2118.3740701754664,1
