,vibration
1101,704
1102,703
1103,701
1104,707
1105,714
1106,706
1107,691
1108,683
1109,681
1110,674
1111,667
1112,668
1113,676
1114,680
1115,675
1116,669
1117,669
1118,683
1119,684
1120,680
1121,681
1122,680
1123,676
1124,678
1125,682
1126,683
1127,682
1128,679
1129,672
1130,665
1131,666
1132,671
1133,671
1134,666
1135,660
1136,657
1137,657
1138,663
1139,672
1140,681
1141,688
1142,693
1143,693
1144,689
1145,688
1146,689
1147,685
1148,680
1149,679
1150,684
1151,688
1152,692
1153,697
1154,702
1155,703
1156,698
1157,689
1158,684
1159,685
1160,686
1161,685
1162,685
1163,681
1164,674
1165,674
1166,676
1167,677
1168,676
1169,680
1170,685
1171,692
1172,694
1173,694
1174,696
1175,696
1176,685
1177,676
1178,678
1179,680
1180,676
1181,675
1182,679
1183,679
1184,677
1185,682
1186,687
1187,687
1188,691
1189,695
1190,687
1191,674
1192,668
1193,665
1194,657
1195,647
1196,640
1197,641
1198,644
1199,640
1200,639
1201,649
1202,659
1203,661
1204,665
1205,671
1206,675
1207,685
1208,696
1209,696
1210,690
1211,693
1212,694
1213,683
1214,675
1215,681
1216,686
1217,680
1218,674
1219,675
1220,677
1221,677
1222,680
1223,683
1224,684
1225,683
1226,680
1227,675
1228,673
1229,675
1230,676
1231,674
1232,675
1233,677
1234,679
1235,684
1236,689
1237,693
1238,698
1239,700
1240,695
1241,686
1242,682
1243,682
1244,678
1245,673
1246,671
1247,669
1248,663
1249,658
1250,664
1251,673
1252,679
1253,686
1254,694
1255,695
1256,687
1257,679
1258,676
1259,679
1260,678
1261,672
1262,668
1263,664
1264,654
1265,639
1266,629
1267,628
1268,690
1269,689
1270,685
1271,683
1272,684
1273,682
1274,675
1275,676
1276,680
1277,676
1278,671
1279,673
1280,673
1281,668
1282,667
1283,670
1284,672
1285,669
1286,665
1287,665
1288,670
1289,678
1290,688
1291,698
1292,705
1293,710
1294,711
1295,704
1296,694
1297,686
1298,677
1299,668
1300,665
1301,665
1302,668
1303,677
1304,687
1305,689
1306,688
1307,687
1308,683
1309,675
1310,673
1311,681
1312,688
1313,689
1314,687
1315,687
1316,681
1317,670
1318,689
1319,686
1320,681
1321,680
1322,680
1323,677
1324,676
1325,680
1326,682
1327,676
1328,669
1329,670
1330,676
1331,679
1332,682
1333,688
1334,690
1335,681
1336,670
1337,668
1338,672
1339,666
1340,648
1341,636
1342,635
1343,633
1344,626
1345,625
1346,634
1347,641
1348,642
1349,644
1350,653
1351,664
1352,672
1353,676
1354,682
1355,688
1356,691
1357,688
1358,681
1359,677
1360,676
1361,675
1362,669
1363,661
1364,658
1365,662
1366,669
1367,671
1368,631
1369,630
1370,628
1371,627
1372,630
1373,635
1374,641
1375,645
1376,650
1377,657
1378,666
1379,678
1380,691
1381,701
1382,706
1383,707
1384,707
1385,706
1386,701
1387,695
1388,692
1389,689
1390,684
1391,682
1392,683
1393,685
1394,685
1395,685
1396,683
1397,678
1398,672
1399,667
1400,668
1401,672
1402,676
1403,678
1404,679
1405,679
1406,677
1407,679
1408,684
1409,684
1410,685
1411,688
1412,690
1413,684
1414,679
1415,685
1416,691
1417,689
1418,669
1419,670
1420,671
1421,671
1422,673
1423,679
1424,685
1425,684
1426,682
1427,681
1428,680
1429,681
1430,683
1431,682
1432,685
1433,691
1434,690
1435,683
1436,683
1437,683
1438,679
1439,677
1440,682
1441,687
1442,689
1443,691
1444,696
1445,697
1446,692
1447,684
1448,678
1449,671
1450,665
1451,668
1452,679
1453,685
1454,686
1455,691
1456,696
1457,694
1458,687
1459,683
1460,678
1461,669
1462,658
1463,652
1464,652
1465,655
1466,654
1467,652
1468,653
1469,655
1470,659
1471,656
1472,647
1473,643
1474,646
1475,646
1476,645
1477,653
1478,664
1479,666
1480,663
1481,668
1482,682
1483,692
1484,694
1485,695
1486,699
1487,700
1488,693
1489,687
1490,688
1491,690
1492,688
1493,686
1494,683
1495,678
1496,677
1497,678
1498,675
1499,672
1500,673
1501,672
1502,670
1503,671
1504,675
1505,682
1506,687
1507,687
1508,687
1509,689
1510,694
1511,697
1512,696
1513,694
1514,691
1515,687
1516,682
1517,676
1518,631
1519,640
1520,650
1521,661
1522,675
1523,687
1524,691
1525,691
1526,691
1527,692
1528,694
1529,690
1530,683
1531,681
1532,684
1533,681
1534,679
1535,681
1536,685
1537,681
1538,671
1539,661
1540,659
1541,660
1542,662
1543,668
1544,678
1545,682
1546,682
1547,683
1548,684
1549,684
1550,685
1551,688
1552,687
1553,685
1554,689
1555,693
1556,697
1557,704
1558,704
1559,694
1560,687
1561,686
1562,685
1563,686
1564,691
1565,694
1566,696
1567,696
1568,677
1569,673
1570,669
1571,664
1572,666
1573,671
1574,672
1575,672
1576,674
1577,675
1578,671
1579,673
1580,678
1581,682
1582,683
1583,681
1584,676
1585,673
1586,670
1587,663
1588,654
1589,650
1590,648
1591,642
1592,637
1593,638
1594,644
1595,649
1596,652
1597,657
1598,665
1599,676
1600,682
1601,686
1602,691
1603,695
1604,694
1605,691
1606,688
1607,686
1608,683
1609,680
1610,675
1611,669
1612,664
1613,663
1614,664
1615,668
1616,674
1617,681
1618,676
1619,677
1620,682
1621,688
1622,688
1623,686
1624,683
1625,674
1626,665
1627,667
1628,671
1629,671
1630,675
1631,687
1632,691
1633,686
1634,683
1635,682
1636,677
1637,672
1638,672
1639,674
1640,672
1641,673
1642,680
1643,686
1644,688
1645,689
1646,688
1647,680
1648,669
1649,666
1650,673
1651,674
1652,667
1653,670
1654,681
1655,684
1656,683
1657,684
1658,684
1659,682
1660,680
1661,675
1662,670
1663,671
1664,670
1665,660
1666,646
1667,639
1668,642
1669,639
1670,640
1671,644
1672,647
1673,653
1674,664
1675,671
1676,674
1677,678
1678,685
1679,690
1680,695
1681,697
1682,694
1683,691
1684,685
1685,676
1686,673
1687,676
1688,678
1689,675
1690,672
1691,670
1692,670
1693,668
1694,660
1695,654
1696,659
1697,664
1698,662
1699,663
1700,668
1701,668
1702,661
1703,655
1704,653
1705,653
1706,655
1707,660
1708,666
1709,670
1710,674
1711,679
1712,680
1713,682
1714,686
1715,687
1716,681
1717,679
1718,674
1719,672
1720,682
1721,691
1722,688
1723,681
1724,677
1725,674
1726,674
1727,674
1728,672
1729,671
1730,674
1731,676
1732,679
1733,686
1734,691
1735,688
1736,684
1737,683
1738,680
1739,675
1740,675
1741,679
1742,681
1743,678
1744,676
1745,676
1746,678
1747,676
1748,672
1749,673
1750,679
1751,679
1752,669
1753,663
1754,668
1755,676
1756,668
1757,650
1758,641
1759,641
1760,637
1761,631
1762,636
1763,649
1764,658
1765,657
1766,653
1767,655
1768,632
1769,626
1770,626
1771,626
1772,621
1773,622
1774,632
1775,642
1776,648
1777,655
1778,665
1779,673
1780,677
1781,680
1782,686
1783,692
1784,695
1785,695
1786,697
1787,698
1788,695
1789,691
1790,690
1791,690
1792,688
1793,682
1794,676
1795,673
1796,671
1797,668
1798,670
1799,676
1800,683
1801,684
1802,679
1803,675
1804,678
1805,682
1806,679
1807,675
1808,679
1809,683
1810,677
1811,674
1812,686
1813,698
1814,695
1815,687
1816,682
1817,680
1818,675
1819,672
1820,668
1821,665
1822,656
1823,649
1824,650
1825,655
1826,657
1827,656
1828,655
1829,656
1830,655
1831,653
1832,657
1833,668
1834,674
1835,676
1836,685
1837,693
1838,700
1839,703
1840,698
1841,693
1842,695
1843,695
1844,686
1845,680
1846,682
1847,688
1848,689
1849,684
1850,679
1851,678
1852,677
1853,672
1854,668
1855,669
1856,673
1857,672
1858,666
1859,669
1860,681
1861,690
1862,689
1863,690
1864,693
1865,692
1866,684
1867,677
1868,676
1869,668
1870,661
1871,656
1872,651
1873,644
1874,641
1875,644
1876,646
1877,643
1878,638
1879,636
1880,637
1881,640
1882,647
1883,658
1884,670
1885,680
1886,683
1887,680
1888,682
1889,684
1890,680
1891,676
1892,678
1893,676
1894,668
1895,670
1896,680
1897,683
1898,681
1899,685
1900,687
1901,681
1902,676
1903,677
1904,681
1905,687
1906,691
1907,690
1908,689
1909,693
1910,692
1911,686
1912,687
1913,691
1914,692
1915,693
1916,695
1917,695
1918,643
1919,654
1920,667
1921,676
1922,683
1923,688
1924,693
1925,698
1926,697
1927,691
1928,689
1929,689
1930,683
1931,674
1932,674
1933,678
1934,679
1935,676
1936,676
1937,678
1938,678
1939,678
1940,674
1941,668
1942,670
1943,676
1944,674
1945,669
1946,674
1947,679
1948,675
1949,672
1950,675
1951,677
1952,679
1953,680
1954,676
1955,674
1956,680
1957,683
1958,677
1959,671
1960,672
1961,674
1962,673
1963,670
1964,669
1965,673
1966,679
1967,680
1968,653
1969,653
1970,652
1971,654
1972,659
1973,664
1974,666
1975,669
1976,678
1977,689
1978,692
1979,687
1980,684
1981,682
1982,679
1983,674
1984,673
1985,677
1986,683
1987,686
1988,682
1989,677
1990,675
1991,673
1992,667
1993,659
1994,656
1995,657
1996,662
1997,667
1998,668
1999,672
2000,681
2001,686
2002,683
2003,681
2004,684
2005,688
2006,687
2007,684
2008,688
2009,697
2010,702
2011,697
2012,686
2013,678
2014,678
2015,679
2016,676
2017,676
2018,694
2019,691
2020,681
2021,671
2022,664
2023,656
2024,650
2025,646
2026,644
2027,643
2028,644
2029,641
2030,638
2031,643
2032,652
2033,657
2034,658
2035,664
2036,669
2037,668
2038,671
2039,677
2040,678
2041,680
2042,687
2043,690
2044,687
2045,687
2046,687
2047,686
2048,684
2049,679
2050,672
2051,669
2052,670
2053,669
2054,665
2055,666
2056,671
2057,668
2058,657
2059,654
2060,662
2061,672
2062,675
2063,674
2064,681
2065,690
2066,690
2067,685
2068,688
2069,700
2070,702
2071,698
2072,694
