,Unnamed: 0,current,temp,rpm,vibrAvg,vibrStd
68,68,4.34,27.87,4134.0,649.0027777777777,98.33857326748213
69,69,4.3,27.87,4134.0,643.5638888888889,98.50466050107526
70,70,4.23,27.91,4134.0,647.5416666666666,93.68009060093826
71,71,4.54,27.93,4425.0,637.5638888888889,107.58568330193013
72,72,4.42,27.93,4425.0,625.6083333333333,107.07616415690075
73,73,4.51,27.93,4425.0,661.4083333333333,94.0199590955736
74,74,4.37,27.95,4425.0,638.5861111111111,107.97336773682713
75,75,4.35,28.08,4998.0,653.3777777777777,96.79701875319391
76,76,4.52,28.25,5004.0,644.4694444444444,102.2470274478118
77,77,4.41,28.31,4893.0,668.0444444444445,85.64204070316441
78,78,4.5,28.43,4260.0,626.0611111111111,113.98409557131151
79,79,4.53,28.39,4260.0,642.9138888888889,106.7359713727127
80,80,4.45,28.45,4260.0,653.3888888888889,105.3455366817476
81,81,4.5,28.45,4260.0,663.9944444444444,95.9211190523073
82,82,4.44,28.45,4260.0,640.9444444444445,115.82948301620995
83,83,4.43,28.43,3780.0,645.7555555555556,104.65449091718808
84,84,4.38,28.43,3780.0,670.3555555555556,86.66052043733141
85,85,4.38,28.47,3780.0,649.5416666666666,105.81665715073197
86,86,4.34,28.47,3780.0,636.7694444444444,105.73549104419966
87,87,4.29,28.51,3780.0,647.2361111111111,105.61311643282913
88,88,4.25,28.53,3780.0,652.3,101.30607637802932
89,89,4.27,28.51,3189.0,648.6638888888889,105.65484069674385
90,90,4.18,28.53,3189.0,653.2833333333333,101.2613930489909
91,91,4.21,28.53,3189.0,647.6805555555555,104.86920774481273
92,92,4.14,28.53,3189.0,627.6916666666667,108.37484813522617
93,93,3.93,28.59,2562.0,631.8277777777778,108.56753303080558
94,94,4.25,28.69,1953.0,641.7,107.39006782131514
95,95,4.43,28.75,1689.0,634.6833333333333,111.98166888677211
96,96,4.33,28.71,1689.0,664.0027777777777,98.44266516921047
97,97,4.53,28.75,1689.0,628.3111111111111,109.20809844252439
98,98,4.47,28.78,1689.0,639.0611111111111,107.0036429228717
99,99,4.45,28.79,1689.0,616.5583333333333,114.19256123612723
100,100,4.54,28.79,1719.0,653.8888888888889,105.40447960588608
101,101,4.43,28.79,1719.0,651.0444444444445,104.68464931626382
102,102,4.45,28.79,1719.0,633.4972222222223,105.16331211266682
103,103,4.4,28.79,1719.0,661.4416666666667,93.2021216824548
104,104,4.41,28.83,2007.0,663.4972222222223,99.45909261296859
105,105,4.43,28.85,2007.0,663.0055555555556,88.86666024144901
106,106,4.46,28.85,2007.0,651.725,97.3929009362478
107,107,4.49,28.85,2493.0,659.2666666666667,89.85365261851567
108,108,4.48,28.91,2493.0,656.3444444444444,82.46843316770243
109,109,4.34,28.95,2493.0,657.4055555555556,82.44605625109078
110,110,4.2,28.95,2493.0,636.1138888888889,90.71978117250754
111,111,4.22,29.02,3966.0,639.8777777777777,87.8096524405398
112,112,4.21,29.04,4440.0,635.825,91.98532453905652
113,113,4.25,29.05,4440.0,651.5805555555555,98.69700636978827
114,114,4.26,29.03,4440.0,633.7666666666667,106.0202601183168
115,115,4.35,29.03,4440.0,634.1194444444444,109.69596700639971
116,116,4.4,29.09,4440.0,650.2611111111111,103.02725442484133
117,117,4.22,29.09,4440.0,657.3583333333333,106.87244181473746
