,vibration
1310,688
1311,684
1312,682
1313,681
1314,677
1315,666
1316,661
1317,669
1318,675
1319,671
1320,661
1321,652
1322,651
1323,655
1324,655
1325,642
1326,630
1327,638
1328,661
1329,679
1330,681
1331,676
1332,677
1333,686
1334,692
1335,683
1336,669
1337,663
1338,668
1339,679
1340,689
1341,693
1342,696
1343,698
1344,701
1345,704
1346,702
1347,697
1348,698
1349,701
1350,698
1351,691
1352,692
1353,692
1354,681
1355,665
1356,652
1357,642
1358,631
1359,704
1360,711
1361,713
1362,705
1363,697
1364,697
1365,701
1366,701
1367,696
1368,688
1369,685
1370,691
1371,701
1372,700
1373,689
1374,689
1375,702
1376,706
1377,692
1378,670
1379,658
1380,659
1381,659
1382,646
1383,626
1384,615
1385,620
1386,633
1387,640
1388,641
1389,643
1390,655
1391,675
1392,689
1393,694
1394,699
1395,704
1396,713
1397,724
1398,726
1399,721
1400,722
1401,725
1402,721
1403,719
1404,716
1405,706
1406,699
1407,696
1408,686
1409,702
1410,695
1411,694
1412,697
1413,698
1414,695
1415,695
1416,702
1417,705
1418,699
1419,691
1420,683
1421,675
1422,672
1423,674
1424,672
1425,659
1426,645
1427,638
1428,627
1429,616
1430,608
1431,601
1432,600
1433,616
1434,643
1435,656
1436,658
1437,667
1438,680
1439,689
1440,692
1441,687
1442,683
1443,695
1444,705
1445,697
1446,682
1447,673
1448,674
1449,686
1450,693
1451,686
1452,676
1453,674
1454,683
1455,692
1456,687
1457,669
1458,655
1459,648
1460,634
1461,625
1462,631
1463,647
1464,663
1465,668
1466,669
1467,674
1468,685
1469,691
1470,690
1471,684
1472,680
1473,687
1474,699
1475,702
1476,699
1477,702
1478,709
1479,710
1480,707
1481,700
1482,697
1483,701
1484,706
1485,708
1486,706
1487,704
1488,708
1489,716
1490,717
1491,705
1492,691
1493,683
1494,676
1495,663
1496,647
1497,632
1498,621
1499,622
1500,628
1501,625
1502,624
1503,637
1504,649
1505,660
1506,673
1507,681
1508,684
1509,662
1510,665
1511,658
1512,648
1513,644
1514,649
1515,659
1516,668
1517,663
1518,658
1519,667
1520,678
1521,676
1522,667
1523,663
1524,666
1525,673
1526,677
1527,668
1528,657
1529,660
1530,671
1531,667
1532,650
1533,638
1534,642
1535,655
1536,661
1537,656
1538,657
1539,675
1540,700
1541,715
1542,714
1543,713
1544,723
1545,738
1546,738
1547,723
1548,700
1549,692
1550,698
1551,701
1552,693
1553,681
1554,676
1555,691
1556,707
1557,702
1558,679
1559,686
1560,688
1561,680
1562,671
1563,673
1564,684
1565,684
1566,673
1567,665
1568,667
1569,673
1570,675
1571,672
1572,671
1573,675
1574,685
1575,700
1576,706
1577,702
1578,699
1579,702
1580,706
1581,703
1582,690
1583,679
1584,677
1585,683
1586,689
1587,688
1588,687
1589,692
